Date,S&P U.S. Treasury Bond Index
30/06/2014,399.81
01/07/2014,399.28
02/07/2014,398.53
03/07/2014,398.22
07/07/2014,398.45
08/07/2014,399.1
09/07/2014,399.27
10/07/2014,399.57
11/07/2014,399.91
14/07/2014,399.54
15/07/2014,399.3
16/07/2014,399.43
17/07/2014,400.41
18/07/2014,400.02
21/07/2014,400.08
22/07/2014,400.33
23/07/2014,400.36
24/07/2014,399.69
25/07/2014,400.27
28/07/2014,400.07
29/07/2014,400.29
30/07/2014,399.27
31/07/2014,399.28
01/08/2014,400.34
04/08/2014,400.39
05/08/2014,400.45
06/08/2014,400.6
07/08/2014,401.28
08/08/2014,401.12
11/08/2014,401.09
12/08/2014,400.85
13/08/2014,401.41
14/08/2014,401.77
15/08/2014,402.37
18/08/2014,401.81
19/08/2014,401.65
20/08/2014,401.1
21/08/2014,401.4
22/08/2014,401.41
25/08/2014,401.48
26/08/2014,401.51
27/08/2014,401.95
28/08/2014,402.33
29/08/2014,402.37
02/09/2014,401.34
03/09/2014,401.59
04/09/2014,400.97
05/09/2014,401.11
08/09/2014,400.87
09/09/2014,400.51
10/09/2014,400.09
11/09/2014,399.95
12/09/2014,399.39
15/09/2014,399.7
16/09/2014,399.68
17/09/2014,399.18
18/09/2014,399.17
19/09/2014,399.75
22/09/2014,400.16
23/09/2014,400.49
24/09/2014,400.08
25/09/2014,400.92
26/09/2014,400.55
29/09/2014,401.06
30/09/2014,400.81
01/10/2014,402.34
02/10/2014,401.82
03/10/2014,401.71
06/10/2014,402.06
07/10/2014,403.1
08/10/2014,403.83
09/10/2014,403.51
10/10/2014,404.14
14/10/2014,405.44
15/10/2014,406.55
16/10/2014,406.05
17/10/2014,405.48
20/10/2014,405.82
21/10/2014,405.39
22/10/2014,405.32
23/10/2014,404.57
24/10/2014,404.67
27/10/2014,404.84
28/10/2014,404.43
29/10/2014,403.8
30/10/2014,403.98
31/10/2014,403.65
03/11/2014,403.55
04/11/2014,403.66
05/11/2014,403.65
06/11/2014,403.1
07/11/2014,404.19
10/11/2014,403.45
12/11/2014,403.42
13/11/2014,403.72
14/11/2014,404.1
17/11/2014,403.92
18/11/2014,404.13
19/11/2014,403.68
20/11/2014,404.01
21/11/2014,404.42
24/11/2014,404.56
25/11/2014,405.08
26/11/2014,405.38
28/11/2014,406.38
01/12/2014,405.79
02/12/2014,404.85
03/12/2014,404.85
04/12/2014,405.41
05/12/2014,404.28
08/12/2014,404.84
09/12/2014,405.42
10/12/2014,405.83
11/12/2014,405.96
12/12/2014,407.34
15/12/2014,406.79
16/12/2014,407.66
17/12/2014,406.51
18/12/2014,405.49
19/12/2014,405.96
22/12/2014,405.99
23/12/2014,404.58
24/12/2014,404.72
26/12/2014,404.94
29/12/2014,405.58
30/12/2014,405.95
31/12/2014,406.3
02/01/2015,407.08
05/01/2015,408.1
06/01/2015,409.44
07/01/2015,409.51
08/01/2015,408.82
09/01/2015,409.76
12/01/2015,410.47
13/01/2015,410.7
14/01/2015,411.51
15/01/2015,413.2
16/01/2015,411.81
20/01/2015,412.33
21/01/2015,411.52
22/01/2015,411.02
23/01/2015,412.15
